species,decimalLongitude,decimalLatitude,countryCode,individualCount,gbifID,family,taxonRank,coordinateUncertaintyInMeters,year,basisOfRecord,institutionCode,datasetName,dataset
Ceiba glaziovii,-37.5667,-9.13275,BRA,NA,1587320009,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,IMA,MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas,GBIF
Ceiba samauma,-55.178778,-10.454389,BRA,NA,1889176229,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UNEMAT,HERBAM - Herbário da Amazônia Meridional,GBIF
Ceiba speciosa,-47.025937,-22.90648,BRA,NA,1847608997,Malvaceae,SPECIES,NA,2016,HUMAN_OBSERVATION,iNaturalist,iNaturalist research-grade observations,GBIF
Ceiba samauma,-40.071278,-13.873,BRA,NA,1837395093,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UESB,HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia,GBIF
Ceiba pentandra,-56.063806,-9.87625,BRA,NA,1889178011,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UNEMAT,HERBAM - Herbário da Amazônia Meridional,GBIF
Ceiba erianthos,-40.301389,-20.301111,BRA,NA,1423936614,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba glaziovii,-39.2,-11.5,BRA,NA,1571563114,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,UNICAMP,UEC - Herbário da Universidade Estadual de Campinas,GBIF
Ceiba speciosa,-44.956389,-23.074167,BRA,NA,1455395626,Malvaceae,SPECIES,NA,2016,PRESERVED_SPECIMEN,IF,SPSF - Herbário Dom Bento José Pickel,GBIF
Ceiba glaziovii,-44.3075,-13.553889,BRA,NA,1928673909,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,NY,Vascular plants,GBIF
Ceiba glaziovii,-44.3075,-13.553889,BRA,NA,1424503150,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba speciosa,-44.443889,-22.296944,BRA,NA,1423903873,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba speciosa,-55.428889,-10.488333,BRA,NA,1889176608,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,UNEMAT,HERBAM - Herbário da Amazônia Meridional,GBIF
Ceiba speciosa,-47.624722,-2.709167,BRA,NA,1423903654,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba glaziovii,-41.43,-10.866111,BRA,NA,1264714643,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,Universidade Federal da Bahia (UFBA),ALCB - Herbário Alexandre Leal Costa,GBIF
Ceiba speciosa,-50.215744,-29.915,BRA,NA,1099619739,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,UCS,HUCS - Herbário da Universidade de Caxias do Sul,GBIF
Ceiba erianthos,-40.734167,-19.292222,BRA,NA,1423936353,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,JBRJ,RB - Rio de Janeiro Botanical Garden Herbarium Collection,GBIF
Ceiba pubiflora,-42.518333,-14.455833,BRA,NA,1585967372,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,Universidade Federal da Bahia (UFBA),ALCB - Herbário Alexandre Leal Costa,GBIF
Ceiba pubiflora,-40.995278,-11.674722,BRA,NA,1252598918,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,Universidade Federal da Bahia (UFBA),ALCB - Herbário Alexandre Leal Costa,GBIF
Ceiba speciosa,-62.22358,-10.72133,BRA,NA,1929554724,Malvaceae,SPECIES,NA,2015,PRESERVED_SPECIMEN,NY,vascular plants,GBIF
